id_pesq,info_muni,url,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
PI-09446/2020,TERESINA,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB-04342/2020,PRINCESA ISABEL,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-03653/2020,CENTENÁRIO DO SUL,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-01401/2020,NOVA LIMA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA-02903/2020,COLINAS,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG-06670/2020,VARGEM BONITA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR-00507/2020,JESUÍTAS,http://onovooeste.com.br/noticia/8946/junior-weiller-mdb-esta-com-7429-das-intencoes-de-votos-validos-caso-a-eleicao-fosse-hoje-em-jesuitas-segundo-pesquisa,1,p,0,,1,JUNIOR WEILLER,"74,29",NEIA SOUZA,"25,71",,,,,,,,,,,,,,,,,,,,,,,,,,
MA-01425/2020,SÃO LUÍS,https://www.diariocidade.com/noticias/pesquisa-eleitoral/pesquisa-eleitoral-sao-luis-setembro-2020/,1,P,1,,,EDUARDO BRAIDE,43,DUARTE JUNIOR,14,NETO EVANGELISTA,10,BIRA DO PANDARE,5,ADRIANO SARNEY,4,CARLOS MADEIRA,2,JEISAEL MARX,2,RUBENS JUNIOR,2,FRANKLIN DOUGLAS,1,DR YGLESIO,1,,,,,,,,,,
BA-03149/2020,AURELINO LEAL,https://www.bahianoticias.com.br/noticia/252770-bn-seculus-rodrigo-andrade-tem-vantagem-em-aurelino-leal.html,1,P,1,,,RODRIGO ANDRADE,67,DHONES ALMEIDA,"19,75",,,,,,,,,,,,,,,,,,,,,,,,,,
BA-03149/2020,AURELINO LEAL,https://www.bahianoticias.com.br/noticia/252770-bn-seculus-rodrigo-andrade-tem-vantagem-em-aurelino-leal.html,1,P,0,,,RODRIGO ANDRADE,"61,75",DHONES ALMEIDA,"22,5",,,,,,,,,,,,,,,,,,,,,,,,,,
BA-05065/2020,UBAÍRA,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
