tse_id,url,NM_UE,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15
BA-08389/2020,http://atarde.uol.com.br/politica/eleicoes/noticias/2141329-a-tardepotencial-pesquisa-mostra-empate-tecnico-na-eleicao-em-luis-eduardo-magalhaes,LUÍS EDUARDO MAGALHÃES,1,P,1,,,OZIEL OLIVEIRA,35,JUNIOR MARABA,30,COMANDANTE RANGEL,2,,,,,,,,,,,,,,,,,,,,,,,,,
BA-08956/2020,https://www.bahianoticias.com.br/noticia/253246-bn-seculus-hildecio-tem-vantagem-em-todos-os-cenarios-em-cairu.html,CAIRU,1,P,1,,,HILDECIO,"48,2",EMANOEL RIBEIRO,"9,8",MANECA,"9,31",BENEDITO PASSOS,"7,03",,,,,,,,,,,,,,,,,,,,,,,
BA-08956/2020,https://www.bahianoticias.com.br/noticia/253246-bn-seculus-hildecio-tem-vantagem-em-todos-os-cenarios-em-cairu.html,CAIRU,1,P,0,,,HILDECIO,"45,42",EMANOEL RIBEIRO,"7,84",MANECA,"7,84",BENEDITO PASSOS,"6,05",,,,,,,,,,,,,,,,,,,,,,,
BA-08725/2020,https://www.otabuleiro.com.br/blog/coaraci-prefeito-jadson-lidera-nova-pesquisa,COARACI,1,P,1,,,JADSON,"46,84",JOSEFINA CASTRO,"26,09",NINO,"21,74",CARLOS MAI,"3,36",CHICO BAIA,"1,98",,,,,,,,,,,,,,,,,,,,,
BA-08725/2020,https://www.otabuleiro.com.br/blog/coaraci-prefeito-jadson-lidera-nova-pesquisa,COARACI,1,P,0,,,JADSON,"40,34",JOSEFINA CASTRO,"19,48",NINO,"14,66",CARLOS MAI,"1,03",,,,,,,,,,,,,,,,,,,,,,,
BA-05543/2020,https://www.bahianoticias.com.br/noticia/253313-bn-seculus-suzana-ramos-aparece-como-preferencia-do-eleitorado-de-juazeiro.html,JUAZEIRO,1,P,1,,,SUZANA,"43,42",PAULO BONFIM,"26,71",CORONEL ANSELMO,"12,11",RAFFANI,"2,11",CAPITAO MOREIRA,"1,97",BRENO RAINAN,"1,84",,,,,,,,,,,,,,,,,,,
BA-07530/2020,https://oecojornal.com.br/pesquisa-indica-ampla-vantagem-de-roberval-galego-em-dom-basilio/,DOM BASÍLIO,1,P,1,,,ROBERVAL,"69,3",MARCAO,"23,1",,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-05543/2020,https://www.bahianoticias.com.br/noticia/253313-bn-seculus-suzana-ramos-aparece-como-preferencia-do-eleitorado-de-juazeiro.html,JUAZEIRO,1,P,0,,,SUZANA,"40,13",JOSEPH,"23,03",PAULO BONFIM,"11,18",BRENO,"1,84",CORONEL ANSELMO,"1,71",RAFFANI,"1,05",,,,,,,,,,,,,,,,,,,
BA-04388/2020,http://www.irecereporter.com.br/jussara-justica-eleitoral-suspende-divulgacao-de-pesquisa-eleitoral-realizada-pela-empresa-ancora-por-suspeita-de-irregularidades,JUSSARA,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-07261/2020,https://www.portaldombasilio.com.br/2020/10/eleicoes-2020-carlao-lidera-disputa.html,LIVRAMENTO DE NOSSA SENHORA,1,P,1,,,CARLAO,"51,1",RICARDINHO,"37,8",CHIQUINHO DO PT,"2,9",,,,,,,,,,,,,,,,,,,,,,,,,
BA-09650/2020,https://www.bahianoticias.com.br/noticia/253284-bn-seculus-joao-gualberto-leva-vantagem-em-todos-os-cenarios-em-mata-de-sao-joao.html,MATA DE SÃO JOÃO,1,P,0,,,JOAO GUALBERTO,"39,4",LULU,"13,59",PAULO HENRIQUE,"10,87",MARCIA,"4,62",,,,,,,,,,,,,,,,,,,,,,,
BA-09650/2020,https://www.bahianoticias.com.br/noticia/253284-bn-seculus-joao-gualberto-leva-vantagem-em-todos-os-cenarios-em-mata-de-sao-joao.html,MATA DE SÃO JOÃO,1,P,1,,,JOAO GUALBERTO,"55,71",LULU,"14,95",PAULO HENRIQUE,"13,59",,,,,,,,,,,,,,,,,,,,,,,,,
BA-09797/2020,https://gazetadabahia.com/2020/10/06/candidato-a-reeleicao-ze-filho-lidera-pesquisa-eleitoral-em-riachao-do-jacuipe/,RIACHÃO DO JACUÍPE,1,P,1,,,ZE FILHO,"36,4",CARLINHOS MATO,31,LUCAS WILLIAM,"14,1",,,,,,,,,,,,,,,,,,,,,,,,,
BA-04570/2020,https://www.bahiajornal.com.br/noticia/3349/real-time-big-data-record,SALVADOR,1,P,0,,,BRUNO REIS,18,ACM NETO,4,DENICE,2,OLIVIA SANTANA,1,CEZAR LEITE,1,,,,,,,,,,,,,,,,,,,,,
BA-04570/2020,https://www.bahiajornal.com.br/noticia/3349/real-time-big-data-record,SALVADOR,1,P,1,,,BRUNO REIS,33,PASTOR SARGENTO ISIDORIO,12,MAJOR DENICE,6,OLIVIA SANTANA,6,CEZAR LEITE,5,BACEALAR,1,HILTON COELHO,1,RODRIGO PEREIRA,1,,,,,,,,,,,,,,,
BA-02196/2020,"https://www.jornalfolhadoestado.com/noticias/112528/em-santanopolis,-florin-lidera-intencoes-de-votos",SANTANÓPOLIS,1,P,0,,,FLORIN,"48,5",VITOR DO POSTO,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-02196/2020,"https://www.jornalfolhadoestado.com/noticias/112528/em-santanopolis,-florin-lidera-intencoes-de-votos",SANTANÓPOLIS,1,P,1,,,FLORIN,"50,75",VITOR DO POSTO,"32,5",,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-08879/2020,https://www.bahianoticias.com.br/noticia/253329-bn-seculus-rogerio-andrade-e-favorito-para-se-reeleger-em-santo-antonio-de-jesus.html,SANTO ANTÔNIO DE JESUS,1,P,1,,,ROGERIO ANDRADE,"37,47",GENIVAL,"21,73",DR CHRISTIAN,"4,4",DR EVERALDO,"3,47",DRA LIA,"3,33",,,,,,,,,,,,,,,,,,,,,
BA-08879/2020,https://www.bahianoticias.com.br/noticia/253329-bn-seculus-rogerio-andrade-e-favorito-para-se-reeleger-em-santo-antonio-de-jesus.html,SANTO ANTÔNIO DE JESUS,1,P,0,,,ROGERIO ANDRADE,28,GENIVAL,"13,2",LIA BARROSO,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,
BA-09562/2020,https://gazetadabahia.com/2020/10/10/pesquisa-registrada-no-tre-ba-aponta-vitoria-do-prefeito-candidato-a-reeleicao-izaque-junior-em-sao-domingos/,SÃO DOMINGOS,1,P,,,,IZAQUE JUNIOR,"49,8",ILARIO CARNEIRO,"42,1",,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-09804/2020,"https://www.bnews.com.br/noticias/politica/eleicoes-2020/283402,pesquisa-gradux-osni-lidera-corrida-eleitoral-em-serrinha-veja-numeros.html",SERRINHA,1,P,0,,,OSNI,"38,3",ADRIANO,"33,3",VIVIANY ANDRADE,"1,4",HELENA RODRIGUES,"1,1",,,,,,,,,,,,,,,,,,,,,,,
BA-09804/2020,"https://www.bnews.com.br/noticias/politica/eleicoes-2020/283402,pesquisa-gradux-osni-lidera-corrida-eleitoral-em-serrinha-veja-numeros.html",SERRINHA,1,P,1,,,OSNI,"40,4",ADRIANO,"35,2",VIVIANY ANDRADE,"1,7",HELENA RODRIGUES,"1,4",,,,,,,,,,,,,,,,,,,,,,,
BA-05624/2020,https://www.bahianoticias.com.br/noticia/253385-bn-seculus-lucio-esta-a-frente-na-preferencia-do-eleitorado-de-ubaira.html,UBAÍRA,1,P,0,,,LUCIO,"52,06",NENEM,"28,35",,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00023/2020,https://www.ilheus.net/2020/10/moacyr-leite-lidera-pesquisa-eleitoral-em-urucuca.html,URUÇUCA,1,P,1,,,MOACYR,"48,5",FERNANDA,"20,67",PAULO BARACHO,11,,,,,,,,,,,,,,,,,,,,,,,,,
BA-00023/2020,https://www.ilheus.net/2020/10/moacyr-leite-lidera-pesquisa-eleitoral-em-urucuca.html,URUÇUCA,1,P,0,,,MOACYR,"45,67",FERNANDA,"18,33",PAULO BARACHO,"9,17",,,,,,,,,,,,,,,,,,,,,,,,,
BA-06469/2020,"https://www.bnews.com.br/noticias/politica/eleicoes-2020/282959,dailton-filho-lidera-pesquisa-de-intencao-de-voto-em-madre-de-deus.html",MADRE DE DEUS,1,P,1,,,DAILTON FILHO,"57,07",JAILTON JAJAI,"23,08",,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-06469/2020,"https://www.bnews.com.br/noticias/politica/eleicoes-2020/282959,dailton-filho-lidera-pesquisa-de-intencao-de-voto-em-madre-de-deus.html",MADRE DE DEUS,1,P,0,,,DAILTON FILHO,"52,36",JAILTON JAJAI,"21,59",,,,,,,,,,,,,,,,,,,,,,,,,,,
BA-03226/2020,https://blogdoadenilton.com/2020/10/07/31464/,PINTADAS,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-05046/2020,https://www.facebook.com/paginaaberta/posts/3699988166699302,MONSENHOR TABOSA,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES-08862/2020,https://folhalitoral.com.br/pesquisa-folha-do-litoral-brand-empate-tecnico-entre-alcantaro-e-dr-coutinho-em-aracruz/,ARACRUZ,1,P,0,,,ALCANTARO,"10,3",DR COUTINHO,"8,5",JONES,"4,8",MAJOR WALLACE VIEIRA,3,EVILASIO COSTA,2,,,,,,,,,,,,,,,,,,,,,
ES-08862/2020,https://folhalitoral.com.br/pesquisa-folha-do-litoral-brand-empate-tecnico-entre-alcantaro-e-dr-coutinho-em-aracruz/,ARACRUZ,1,P,1,,,ALCANTARO,"23,3",DR COUTINHO,"20,5",JONES,"9,3",MAJOR WALLACE VIEIRA,"6,5",EVILASIO COSTA,3,PAULO NERES,"2,3",,,,,,,,,,,,,,,,,,,
ES-05387/2020,https://www.folhadoes.com/noticia/politica-eleicoes-2020/69690/victor-coelho-lidera-intencao-votos-29-50-a-rejeicao-30-17,CACHOEIRO DE ITAPEMIRIM,1,P,1,,,VICTOR COELHO,"29,5",JONAS NOGUEIRA,"10,33",DIEGO LIBARDI,"9,67",RENATA FIORIO,5,JOANA D'ARCK,"3,67",FAYDA BELO,"3,67",FABRICIO DO ZUMBI,"3,17",SARGENTO PAULO SERGIO,"3,17",PROFESSOR BRENO,"2,33",IZAIAS JUNIOR,"1,67",,,,,,,,,,,
ES-05387/2020,https://www.folhadoes.com/noticia/politica-eleicoes-2020/69690/victor-coelho-lidera-intencao-votos-29-50-a-rejeicao-30-17,CACHOEIRO DE ITAPEMIRIM,1,P,0,,,VICTOR COELHO,14,DIEGO LIBARDI,3,JONAS NOGUEIRA,2,RENATA FIORIO,"1,33",,,,,,,,,,,,,,,,,,,,,,,
ES-00377/2020,https://www.folhavitoria.com.br/politica/blogs/guia-eleicoes-2020/2020/10/09/pesquisa-rede-vitoria-futura-aponta-candidatos-embolados-em-cariacica/,CARIACICA,1,P,0,,,EUCLERIO SAMPAIO,"3,7",SANDOR LOCUTOR,"3,5",HERALDO LEMOS,"2,5",MARCOS BRUNO,"2,2",DR MOTTA,2,JOEL DA COSTA,"1,8",ADILSON AVELINA,"1,3",SUBTENENTE ASSIS,"1,2",CELIA TAVARES,"1,2",DR HELCIO,1,,,,,,,,,,,
ES-00377/2020,https://www.folhavitoria.com.br/politica/blogs/guia-eleicoes-2020/2020/10/09/pesquisa-rede-vitoria-futura-aponta-candidatos-embolados-em-cariacica/,CARIACICA,1,P,1,,,SANDRO LOCUTOR,"9,8",EUCLERIO SAMPAIO,"7,5",MARCOS BRUNO,"5,8",HERALDO LEMOS,"5,2",ADILSON AVELINA,"3,8",JOEL DA COSTA,"3,7",DR MOTTA,"3,5",PROFESSOR SAULO,"3,3",CELIA TAVARES,"2,5",SUBTENENTE ASSIS,"2,3",CELSO ANDREON,"2,2",DR HELCIO,"1,8",,,,,,,
ES-07574/2020,https://eshoje.com.br/pesquisa-mostra-empate-tecnico-entre-sete-candidatos-a-prefeito-de-cariacica/,CARIACICA,1,P,1,,,SUBTENENTE ASSIS,9,SANDRO LOCUTOR,"8,3",EUCLERIO SAMPAIO,8,DOUTOR HERALDO LEMOS,6,MARCOS BRUNO,"5,5",JOEL DA COSTA,5,DR HELCIO,"4,8",CELIA TAVARES,"3,5",CELSO ANDREON,"3,5",ADILSON AVELINA,"2,8",DR MOTTA,2,PROFESSOR SAULO,1,,,,,,,
ES-07574/2020,https://eshoje.com.br/pesquisa-mostra-empate-tecnico-entre-sete-candidatos-a-prefeito-de-cariacica/,CARIACICA,1,P,0,,,EUCLERIO SAMPAIO,"3,5",SANDRO LOCUTOR,"2,3",JOEL DA COSTA,"2,3",SUBTENENTE ASSIS,2,CELIA TAVARES,2,DOUTOR HERALDO LEMOS,"1,8",MARCOS BRUNO,"1,3",DR MOTTA,1,,,,,,,,,,,,,,,
ES-04597/2020,https://www.folhavitoria.com.br/politica/noticia/10/2020/pesquisa-rede-vitoriafutura-empate-tecnico-entre-coser-e-gandini-na-capital,VITÓRIA,1,P,1,,,JOAO COSER,"17,5",GANDINI,"14,2",DELEGADO PAZOLINI,9,NEUZINHA,"6,2",CAPITAO ASSUNCAO,"5,5",SERGIO SA,"2,7",CORONEL NYLTON,"2,2",MAZINHO,"2,2",NAMY CHEQUER,"1,7",GILBERTINHO CAMPOS,"1,2",FABIO LOUZADA,1,,,,,,,,,
ES-04597/2020,https://www.folhavitoria.com.br/politica/noticia/10/2020/pesquisa-rede-vitoriafutura-empate-tecnico-entre-coser-e-gandini-na-capital,VITÓRIA,1,P,0,,,GANDINI,"8,3",JOAO COSER,7,DELEGADO PAZOLINI,"4,3",CAPITAO ASSUNCAO,"2,2",NEUZINHA,2,SERGIO SA,"1,8",MAZINHO,"1,3",,,,,,,,,,,,,,,,,
GO-04425/2020,https://diariodegoias.com.br/gomide-seria-eleito-no-primeiro-turno-em-anapolis-diz-serpes-o-popular/,ANÁPOLIS,1,P,0,,,ANTONIO GOMIDE,"24,9",ROBERTO NAVES,"9,2",JOAO GOMES,"2,2",HUMBERTO EVANGELISTA,"1,5",MARCIO CORREA,"1,5",JOSE DE LIMA,"1,2",VALERIANO ABREU,"1,2",,,,,,,,,,,,,,,,,
GO-04425/2020,https://diariodegoias.com.br/gomide-seria-eleito-no-primeiro-turno-em-anapolis-diz-serpes-o-popular/,ANÁPOLIS,1,P,1,,,ANTONIO GOMIDE,"41,9",ROBERTO NAVES,17,JOAO GOMES,"3,2",JOSE DE LIMA,3,VALERIANO ABREU,"2,7",HUMBERTO EVANGELISTA,"1,7",MARCIO CORREA,"1,7",JOSMAR MOURA,1,,,,,,,,,,,,,,,
GO-06064/2020,https://www.jornalopcao.com.br/ultimas-noticias/roberto-naves-e-aprovado-por-72-em-anapolis-diz-pesquisa-288435/,ANÁPOLIS,1,P,1,,,ANTONIO GOMIDE,32,ROBERTO NAVES,22,VALERIANO,11,JOSE DE LIMA,6,DELEGADO HUMBERTO,5,JOAO GOMES,2,JOSMAR MOURAGAS,1,MARCIO,1,,,,,,,,,,,,,,,
GO-06064/2020,https://www.jornalopcao.com.br/ultimas-noticias/roberto-naves-e-aprovado-por-72-em-anapolis-diz-pesquisa-288435/,ANÁPOLIS,1,P,0,,,ANTONIO GOMIDE,13,ROBERTO NAVES,13,VALERIANO,2,,,,,,,,,,,,,,,,,,,,,,,,,
GO-05910/2020,https://www.facebook.com/RecordTVGoias/videos/1619087704938399/,APARECIDA DE GOIÂNIA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-02329/2020,https://www.dm.jor.br/politica-3/2020/10/em-aragarcas-pesquisa-aponta-plinio-leao-com-382-das-intencoes-de-voto/,ARAGARÇAS,1,P,1,,,PLINIO LEAO,"38,2",RICARDO GALVAO,"33,4",GIRLEY-TITI,"8,6",CIRLEY ARAUJO,"3,5",PATRICK MEDEIROS,"1,1",,,,,,,,,,,,,,,,,,,,,
GO-01094/2020,http://noticiasgoias.com.br/noticia/titulo?titulo=senador-canedo--rejei--o-amea-a-reelei--o-de-divino-lemes&id=3846,SENADOR CANEDO,1,P,0,,,FERNANDO PELOZO,11,DIVINO LEMES,10,JULIO PINA,3,TIAGO DO PISO,2,,,,,,,,,,,,,,,,,,,,,,,
GO-01094/2020,http://noticiasgoias.com.br/noticia/titulo?titulo=senador-canedo--rejei--o-amea-a-reelei--o-de-divino-lemes&id=3846,SENADOR CANEDO,1,P,1,,,FERNANDO PELOZO,22,DIVINO LEMES,20,JULIO PINA,9,TIAGO DO PISO,7,,,,,,,,,,,,,,,,,,,,,,,
GO-02525/2020,https://www.vivergoias.com.br/noticia/eleicoes-2020-divino-lemes-e-o-candidato-mais-lembrado-pelos-eleitores-de-senador-canedo,SENADOR CANEDO,1,P,0,,,DIVINO LEMES,"21,1",FERNANDO PELLOZO,"11,3",JULIO PINA,"4,6",TIAGO DO PISO,"1,6",,,,,,,,,,,,,,,,,,,,,,,
GO-02525/2020,https://goias24horas.com.br/157324-senador-canedo-divino-lemes-lidera-corrida-eleitoral/,SENADOR CANEDO,1,P,1,,,DIVINO LEMES,"32,8",DR FERNANDO PELLOZO,"20,9",JULIO PINA,"9,5",TIAGO DO PISO,"5,8",,,,,,,,,,,,,,,,,,,,,,,
GO-05427/2020,https://www.dinomarmiranda.com/2020/10/nova-pesquisa-em-campos-belos-go-traz.html,CAMPOS BELOS,1,P,1,,,PABLO GEOVANNI,"28,33",NINHA,"23,8",EDUARDO TERRA,"19,83",LEANDRO FOX,"4,53",WESLEY OLIVEIRA,"3,12",,,,,,,,,,,,,,,,,,,,,
GO-07338/2020,https://sdnews.com.br/noticia/1495/cristianopolis-juliana-da-farmacia-lidera-a-disputa-pela-prefeitura-com-vantagem-de-19-9-em-cima-do.html,CRISTIANÓPOLIS,1,P,1,,,JULIANA DA FARMACIA,45,AURELIO DIAS,"25,1",RODRIGO ACHCAR,"18,7",BRUNO RIBEIRO,"4,6",,,,,,,,,,,,,,,,,,,,,,,
GO-04033/2020,https://www.emaisgoias.com.br/vanderlan-lidera-pesquisa-enquanto-maguito-e-adriana-brigam-por-2o-lugar/,GOIÂNIA,1,P,0,,,VANDERLAN CARDOSO,"14,2",MAGUITO VILELA,"9,1",ADRIANA ACCORSI,"4,9",VIRMONDES CRUVINEL,"1,2",GUSTAVO GAYER,1,,,,,,,,,,,,,,,,,,,,,
GO-04033/2020,https://diariodegoias.com.br/pesquisa-grupom-vanderlan-27-maguito-17-e-adriana-15/,GOIÂNIA,1,P,1,,,VANDERLAN CARDOSO,27,MAGUITO VILELA,16,ADRIANA ACCORSI,13,ALYSSON LIMA,4,MAJOR ARAUJO,3,ELIAS VAZ,2,DRA CRISTINA,2,VIRMONDES CRUVINEL,2,GUSTAVO GAYER,1,FABIO JUNIOR,1,,,,,,,,,,,
GO-07908/2020,https://www.omaispositivo.com.br/pesquisa-eleitoral-em-jaupaci-quase-30-pontos-separam-laerte-dourado-de-santo-do-acougue/,JAUPACI,1,P,0,,,LAERTE DOURADO,"55,88",SANTO DO ACOUGUE,"28,76",,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-00563/2020,https://www.omaispositivo.com.br/eleicoes-2020-prefeita-miria-dantas-esta-com-4528-e-segue-na-frente-em-israelandia/,ISRAELÂNDIA,1,P,0,,,MIRIA DANTAS,"41,69",ADELICIA MOURA,"38,11",,,,,,,,,,,,,,,,,,,,,,,,,,,
GO-06471/2020,https://www.emaisgoias.com.br/vanderlan-tem-21-maguito-15-e-adriana-9-das-intencoes-de-voto-diz-pesquisa/,GOIÂNIA,1,P,0,,,VANDERLAN CARDOSO,8,MAGUITO VILELA,5,ADRIANA ACCORSI,5,IRIS REZENDE,4,VIRMONDES CRUVINEL,1,,,,,,,,,,,,,,,,,,,,,
GO-06471/2020,https://www.emaisgoias.com.br/vanderlan-tem-21-maguito-15-e-adriana-9-das-intencoes-de-voto-diz-pesquisa/,GOIÂNIA,1,P,1,,,VANDERLAN CARDOSO,21,MAGUITO VILELA,15,ADRIANA ACCORSI,9,ELIAS VAZ,5,DRA CRISTINA,4,VIRMONDES CRUVINEL,4,MAJOR ARAUJO,3,ALYSSON LIMA,1,GUSTAVO GAYER,1,MANU JACOB,1,SAMUEL ALMEIDA,1,,,,,,,,,
GO-08575/2020,https://osmunicipiosemacao.com.br/ipameri-ludmila-e-a-preferida-dos-eleitores-ipamerinos/,IPAMERI,1,P,,,,LUDMILA COZAC,"33,33",BARTOLOMEU,"21,95",JANINHO PACHECO,"19,04",WELLINGTON PEIXOTO,"8,73",,,,,,,,,,,,,,,,,,,,,,,
GO-06112/2020,https://www.dm.jor.br/cotidiano/2020/10/pesquisa-em-ipora-tem-nacoitan-leite-na-lideranca/,IPORÁ,1,P,0,,,DANILO,"5,03",JOAO BATISTA,"6,35",AMARILDO,"7,41",LEO CONTADOR,"8,99",NACOITAN,"21,69",,,,,,,,,,,,,,,,,,,,,
GO-06112/2020,https://www.dm.jor.br/cotidiano/2020/10/pesquisa-em-ipora-tem-nacoitan-leite-na-lideranca/,IPORÁ,1,P,1,,,NACOITAN,"25,66",LEO CONTADOR,"8,47",AMARILDO,"7,67",JOAO BATISTA,"6,61",DANILO,"5,03",,,,,,,,,,,,,,,,,,,,,
GO-00563/2020,https://www.omaispositivo.com.br/eleicoes-2020-prefeita-miria-dantas-esta-com-4528-e-segue-na-frente-em-israelandia/,ISRAELÂNDIA,1,P,1,,,MIRIA DANTAS,"45,28",ADELICIA MOURA,"39,74",,,,,,,,,,,,,,,,,,,,,,,,,,,
