feito_por,obs,tse_id,url,estado,cidade,util,position,estimulada,suspensa,vv,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
MARICELIA,,RJ-03806/2018,https://veja.abril.com.br/politica/paes-lidera-no-rio-romario-e-witzel-brigam-pelo-2o-turno/,RJ,RIO DE JANEIRO,1,G,1.0,,1.0,eduardo paes,0.32,romario,0.2,wilson witzel,0.12,indio da costa,0.12,tarcisio motta,0.08,pedro fernandes,0.06,marcia tiburi,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-04258/2018,https://blogdopavulo.com/datafolha-eduardo-paes-oscila-para-22-e-romario-mantem-14/,RJ,RIO DE JANEIRO,1,G,1.0,,,eduardo paes,0.22,romario,0.14,anthony garotinho,0.12,indio da costa,0.07,tarcisio da costa,0.06,wilson witzel,0.04,marcia tiburi,0.03,pedro fernandes,0.02,endre monteiro,0.01,dayse oliveira,0.01,marcela trindade,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-04258/2018,https://diariodorio.com/datafolha-mostra-paes-em-1o-e-cenario-embolado-no-senado/,RJ,RIO DE JANEIRO,1,S,1.0,,,flavio bolsonaro,0.26,cesar maia,0.24,lindbergh,0.21,chico alencar,0.12,miro teixeira,0.11,arolde oliveira,0.08,pastor everaldo,0.07,mattos nascimento,0.04,senador eduardo lopes,0.04,cyro garcia,0.04,aspasia,0.03,jose bonifacio ,0.03,marta barçante,0.02,samantha guedes,0.01,gabrielle burcci,0.01,fernando fagundes ribeiro,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-04258/2018,https://especiais.gazetadopovo.com.br/eleicoes/2018/pesquisas-eleitorais/datafolha/datafolha-para-presidente-no-rj-bolsonaro-lidera-com-38/,RJ,RIO DE JANEIRO,1,PR,1.0,,,jair bolsonaro,0.38,ciro gomes,0.13,fernando haddad,0.11,marina silva,0.08,geraldo alckimin,0.05,henrique meirelles,0.02,joao amoedo,0.02,alvoro dias,0.01,guilherme boulos,0.01,cabo daciolo,0.01,joao goulart filho,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-04258/2018,https://www.infomoney.com.br/politica/onze-candidatos-a-governador-podem-ser-eleitos-ja-no-1o-turno-veja-como-anda-a-disputa-nos-estados/,RJ,RIO DE JANEIRO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-04258/2018,https://www.portalmultiplix.com/noticias/eleicoes-2018/eduardo-paes-lidera-corrida-pelo-governo-do-estado-do-rio-de-janeiro,RJ,RIO DE JANEIRO,1,G,1.0,,,eduardo paes,0.24,romario,0.18,anthony garotinho,0.12,tarcisio motta,0.04,indio da costa,0.04,pedro fernandes,0.02,marcia tiburi,0.02,wilson witzel,0.02,marcelo trindade,0.01,andre monteiro,0.01,dayse oliveira,0.01, luis euzenio honorato,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-04334/2016,http://www.conectabaixada.com.br/destaque/2016/09/28/pesquisa-aponta-farid-com-o-dobro-de-votos-de-calazans-em-nilopolis/,RJ,NILÓPOLIS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-04334/2016,https://elizeupires.com/artigos/politica/2952-ibps-aponta-vitoria-de-farid-em-nilopolis/,RJ,NILÓPOLIS,1,P,1.0,,,farid abrao david,0.5101,alessandro calazans,0.2608,wilson josuilson soares,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-04334/2016,https://nilopolisonline.com.br/2016/09/28/farid-tem-64-calazans-33-e-wilson-2-aponta-ibps-em-nilopolis/,RJ,NILÓPOLIS,1,P,1.0,,,farid abrao david,0.64,alessandro calazans,0.33,wilson josuilson soares,0.02,prof. Wenderson,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-05465/2016,https://pt.scribd.com/document/332088352/Pesquisa-Sao-Jose-de-Uba,RJ,SÃO JOSÉ DE UBÁ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-05941/2016,http://www.paranapesquisas.com.br/category/noticias/page/990/,RJ,CAMPOS DOS GOYTACAZES,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-05941/2016,http://www.paranapesquisas.com.br/noticias/blog-fernando-leite-divulga-pesquisa-sobre-a-disputa-eleitoral-a-prefeitura-de-campos-dos-goytacazes/,RJ,CAMPOS DOS GOYTACAZES,1,P,0.0,,,doutor chicao,0.184,rafael diniz,0.14,caio vianna,0.066,geraldo pudim,0.016,nildo cardoso,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-05941/2016,https://jailtondapenha.blogspot.com/2016/09/tv-record-divulga-pesquisa.html,RJ,CAMPOS DOS GOYTACAZES,1,P,1.0,,,doutor chicao,0.319,rafael diniz,0.259,caio vianna,0.157,geraldo pudim,0.046,nildo cardoso,0.029,rogerio matoso,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-06668/2018,http://www.trendww.com/brazil/brazil_trend_on_date-08-09-2018.html,RJ,RIO DE JANEIRO,1,S,1.0,,,cesar maia,0.21,lindbergh,0.18,flavio bolsonaro,0.17,chico alencar,0.14,miro teixeira,0.12,pastor everaldo,0.06,arolde oliveira,0.06,cyro garcia,0.05,mattos nascimento,0.03,senador eduardo lopes,0.03,jose bonifacio ,0.03,aspasia,0.03,marta barçante,0.02,samantha guedes,0.01,gabrielle burcci,0.01,fernando fagundes ribeiro,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-06668/2018,https://jailtondapenha.blogspot.com/2018/09/datafolha-eduardo-paes-se-isola-na.html,RJ,RIO DE JANEIRO,1,G,1.0,,,eduardo paes,0.24,romario,0.14,anthony garotinho,0.1,tarcisio motta,0.07,indio da costa,0.05,pedro fernando,0.03,marcia tiburi,0.02,andre monteiro,0.01,dayse oliveira,0.01,marcela trindade,0.01,wilson witzel,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-06668/2018,https://jovempan.com.br/eleicoes-2018/rio-de-janeiro/datafolha-72-dos-eleitores-no-rj-querem-intervencao-federal-continue.html,RJ,RIO DE JANEIRO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-06668/2018,https://transparencianf.blogspot.com/2018/09/paes-lidera-para-o-governo-do-estado-do.html,RJ,RIO DE JANEIRO,1,G,0.0,,,eduardo paes,0.12,romario ,0.06,anthony garotinho,0.06,tarcisio motta,0.03,indio da costa,0.01,pedro fernandes,0.01,wilson wifzel,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-06944/2018,https://bravonoticias1.blogspot.com/2018/10/,RJ,RIO DE JANEIRO,1,G,1.0,,1.0,wilson witzel,0.64,eduardo paes,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-06944/2018,https://bravonoticias1.blogspot.com/2018/10/,RJ,RIO DE JANEIRO,1,G,1.0,,,wilson witzel,0.51,eduardo paes,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-08101/2016,https://issuu.com/marceloantoniodearaujo/docs/pagina_urgente,RJ,SAQUAREMA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-08346/2016,https://agorarn.com.br/nacionais/bolsonaro-diz-que-nao-bateu-em-molon-para-que-ele-nao-se-apaixonasse/,RJ,RIO DE JANEIRO,1,P,1.0,,,marcelo crivella,0.31,marcelo freixo,0.1,jandira feghali,0.09,pedro paulo,0.09,flavio bolsonaro,0.07,indio da costa,0.06,osorio,0.04,molon,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-08346/2016,https://costabrancanews.com/pesquisa-datafolha-mostra-crivella-com-21-pontos-a-frente-do-segundo-colocado-na-corrida-para-a-prefeitura-do-rio/,RJ,RIO DE JANEIRO,1,P,1.0,,,marcelo crivella,0.31,marcelo freixo,0.1,jandira feghali,0.09,pedro paulo,0.09,flavio bolsonaro,0.07,indio da costa,0.06,osorio,0.04,molon,0.02,cyro garcia,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-08346/2016,https://costabrancanews.com/pesquisa-datafolha-mostra-crivella-com-21-pontos-a-frente-do-segundo-colocado-na-corrida-para-a-prefeitura-do-rio/,RJ,RIO DE JANEIRO,1,P,0.0,,,marcelo crivella,0.2,marcelo freixo,0.07,pedro paulo,0.06,jandira feghali,0.04,flavio bolsonaro,0.04,indio da costa,0.02,osorio,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-08346/2016,https://riodasostrasjornal.blogspot.com/2016/09/datafolha-crivella-tem-31-freixo-10-e.html,RJ,RIO DE JANEIRO,1,P,1.0,,,marcelo crivella,0.29,marcelo freixo,0.11,jandira feghali,0.08,pedro paulo,0.08,flavio bolsonaro,0.06,indio da costa,0.06,osorio,0.04,molon,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-08346/2016,https://www.skyscrapercity.com/showthread.php?t=915158&page=336,RJ,RIO DE JANEIRO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RJ-09900/2016,https://cliquediario.com.br/politica/casimiro-pesquisa-registrada-mostra-paulo-dames-com-43-e-fabinho-kiffer-com-17-das-intencoes-de-voto,RJ,CASIMIRO DE ABREU,1,P,1.0,,,paulo dames,0.43,fabinho kiffer,0.17,wagner heringer,0.12,endre menta rios,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00002/2014,https://assunapontadalingua.blogspot.com/2014_06_15_archive.html,RN,RIO GRANDE DO NORTE,1,P,1.0,,,henrique alves,0.35,robinson farias,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00006/2012,https://blogdojohanadonis.blogspot.com/2012/03/carlos-eduardo-lidera-em-natal-segundo.html,RN,NATAL,1,P,1.0,,,carlos eduardo alves,0.442,wilma de faria,0.198,rogerio marinho,0.068,fernando maneiro,0.037,hermano morais,0.036,felipe maia,0.021,micarla de sousa,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00006/2012,https://janduisemfoco.blogspot.com/2012/03/desaprovacao-de-micarla-chega-90.html,RN,NATAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00008/2014,http://www.saomiguelnews.com.br/2014/07/,RN,RIO GRANDE DO NORTE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00008/2014,https://rabiscosdosamueljunior.blogspot.com/2014/07/,RN,RIO GRANDE DO NORTE,1,G,1.0,,,henrique alves,0.09,robinson faria,0.0465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00009/2012,https://agresteemfoco.blogspot.com/2012/04/nova-pesquisa-sindusconconsult-mantem.html,RN,NATAL,1,P,1.0,,,carlos eduardo alves,0.425,wilma de faria,0.191,rogerio marinho,0.081,hermano morais,0.044,fernando marinho,0.041,micarla de sousa,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00009/2012,https://barrigudanews.blogspot.com/2012/04/viadagem-fez-carlos-eduardo-cair-10-na.html,RN,NATAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00014/2012,https://nominuto.com/noticias/politica/gestao-de-micarla-de-sousa-e-desaprovada-por-876-de-natal/84750/,RN,NATAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00015/2014,http://blog.tribunadonorte.com.br/heitorgregorio/page/1127/,RN,RIO GRANDE DO NORTE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00015/2014,https://rabiscosdosamueljunior.blogspot.com/2014/08/,RN,RIO GRANDE DO NORTE,1,G,1.0,,,henrique alves,0.3512,robinson faria,0.2529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00015/2014,https://rabiscosdosamueljunior.blogspot.com/2014/08/pesquisa-consult-mais-de-70-do.html,RN,RIO GRANDE DO NORTE,1,G,1.0,,,henrique alves,0.1659,robinson faria,0.1076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00016/2012,https://lagoanovaverdade.blogspot.com/2012/05/numeros-da-consult-sobre-sucessao-de.html,RN,CURRAIS NOVOS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00017/2012,https://aluisiodutra.blogspot.com/2012/05/,RN,PATU,1,P,1.0,,,evilasia gildencia,0.5667,magolia solano,0.2762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00020/2012,https://baixadomeionoticias.blogspot.com/2012_06_12_archive.html,RN,NATAL,1,P,1.0,,,carlos eduardo alves,0.592,rogerio marinho,0.085,hermano morais,0.05,fernando mineiro,0.032,micarla de sousa,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00020/2012,https://pt13rn.blogspot.com/2012/06/,RN,NATAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00022/2014,http://blogdoserido.com.br/noticias/page/1027/,RN,RIO GRANDE DO NORTE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00029/2012,https://issuu.com/jornaldehoje/docs/09072012,RN,MOSSORÓ,1,V,1.0,,,chico da prefeitura,0.0317,manoel bezerra,0.0267,claudionor,0.0217,francisco jose junior,0.0217,ze peixeiro,0.0217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00030/2012,https://saotomenoticias.blogspot.com/2012/07/sao-tome-pesquisa-registrada-e-ainda.html,RN,SÃO TOMÉ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00033/2012,https://eleicoes.uol.com.br/2012/noticias/2012/07/18/instituto-consult-carlos-eduardo-lidera-em-natal-com-578.htm,RN,NATAL,1,P,1.0,,,carlos eduardo alves,0.578,rogerio marinho,0.083,hermano morais,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00034/2014,https://costabrancaemdia.blogspot.com/2014/09/,RN,RIO GRANDE DO NORTE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00034/2014,https://issuu.com/tribunadonorte/docs/140927053242-4bfdbb91731f4e3a888aee3e3d39a13e,RN,RIO GRANDE DO NORTE,1,G,1.0,,,henrique alves,0.521,robinson farias,0.229,roberio,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00034/2014,https://issuu.com/tribunadonorte/docs/140927053242-4bfdbb91731f4e3a888aee3e3d39a13e,RN,RIO GRANDE DO NORTE,1,G,1.0,,,henrique alves,0.417,robinson farias,0.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00034/2014,https://issuu.com/tribunadonorte/docs/140927053242-4bfdbb91731f4e3a888aee3e3d39a13e,RN,RIO GRANDE DO NORTE,1,G,1.0,,,henrique alves,0.415,robinson farias,0.268,roberio,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00034/2014,https://issuu.com/tribunadonorte/docs/140927053242-4bfdbb91731f4e3a888aee3e3d39a13e,RN,RIO GRANDE DO NORTE,1,G,1.0,,,henrique alves,0.438,robinson farias,0.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00034/2014,https://issuu.com/tribunadonorte/docs/140927053242-4bfdbb91731f4e3a888aee3e3d39a13e,RN,RIO GRANDE DO NORTE,1,G,1.0,,,henrique alves,0.416,robinson farias,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00034/2014,https://issuu.com/tribunadonorte/docs/140927053242-4bfdbb91731f4e3a888aee3e3d39a13e,RN,RIO GRANDE DO NORTE,1,G,1.0,,,henrique alves,0.5,robinson farias,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00034/2014,https://issuu.com/tribunadonorte/docs/140927053242-4bfdbb91731f4e3a888aee3e3d39a13e,RN,RIO GRANDE DO NORTE,1,G,1.0,,,henrique alves,0.458,robinson farias,0.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00034/2014,https://issuu.com/tribunadonorte/docs/140927053242-4bfdbb91731f4e3a888aee3e3d39a13e,RN,RIO GRANDE DO NORTE,1,G,1.0,,,henrique alves,0.308,robinson farias,0.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00034/2014,https://issuu.com/tribunadonorte/docs/140927053242-4bfdbb91731f4e3a888aee3e3d39a13e/3,RN,RIO GRANDE DO NORTE,1,G,1.0,,,henrique alves,0.33,robinson farias,0.298,roberio,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00034/2014,https://issuu.com/tribunadonorte/docs/140927053242-4bfdbb91731f4e3a888aee3e3d39a13e/3,RN,RIO GRANDE DO NORTE,1,G,1.0,,,henrique alves,0.33,robinson farias,0.278,roberio,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00034/2014,https://jairgomesapodi.blogspot.com/2014/09/,RN,RIO GRANDE DO NORTE,1,DE,1.0,,,getulio rego,0.0382,tomba,0.0206,vivaldo costa,0.0188,galeno,0.0182,kelps,0.0165,george soares,0.0159,larissa rosado,0.0153,ezequiel,0.0153,hermano morais,0.0147,ricardo motta,0.0135,nelter queiroz,0.0129,agnelo,0.0129,jose adecio,0.0118,amazan,0.0118,marcia maia,0.0106,cristiane dantas,0.0106,alvaros dias,0.01,dison,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00034/2014,https://paulosomeeventos.blogspot.com/2014_09_28_archive.html,RN,RIO GRANDE DO NORTE,1,DF,1.0,,,fabio faria,0.0541,walter alves,0.0494,felipe maia,0.0441,rafael motta,0.0235,dra. Zenaide,0.0224,betinho rosado,0.0188,sandra rosado,0.0159,rogerio marinho,0.0153,abraao lincoln,0.0153,antonio jacome,0.0106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00034/2014,https://www.blogdojoaomarcolino.com/2014/09/ate-segunda-feira-serao-divulgadas-mais.html,RN,RIO GRANDE DO NORTE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00035/2012,https://ipanguacu-news.blogspot.com/2012_09_07_archive.html,RN,IPANGUAÇU,1,P,1.0,,,leonardo oliveira,0.5881,rizomar barbosa,0.3286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00035/2012,https://www.altonoticias.com.br/2012/09/ipanguacu-pesquisa-consult-volta.html,RN,IPANGUAÇU,1,P,0.0,,,leonardo oliveira,0.5667,rizomar barbosa,0.2952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00041/2012,https://wwwriachueloemacao.blogspot.com/2012/08/riachuelo-o-jogo-e-jogado-e-o-lambari-e.html,RN,RIACHUELO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00046/2012,http://www.ediponatan.com.br/index.php?limitstart=16320,RN,LAJES PINTADAS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00046/2012,https://oparalelocampestre.blogspot.com/2012/08/lajes-pintadasrn-pesquisa-consultradio.html,RN,LAJES PINTADAS,1,P,0.0,,,nivaldo alves,0.4657,preta de jussier,0.3143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICELIA,,RN-00046/2012,https://oparalelocampestre.blogspot.com/2012_08_07_archive.html,RN,LAJES PINTADAS,1,P,1.0,,,nivaldo alves,0.5286,preta de jussier,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
