obs,tse_id,url,estado,cidade,util,position,estimulada,vv,suspensa,cand1,resul1,cand2,resul2,cand3,resul3,cand4,resul4,cand5,resul5,cand6,resul6,cand7,resul7,cand8,resul8,cand9,resul9,cand10,resul10,cand11,resul11,cand12,resul12,cand13,resul13,cand14,resul14,cand15,resul15,cand16,resul16,cand17,resul17,cand18,resul18,cand19,resul19,cand20,resul20,cand21,resul21,cand22,resul22,cand23,resul23,cand24,resul24,cand25,resul25,cand26,resul26,cand27,resul27,cand28,resul28,cand29,resul29,cand30,resul30,cand31,resul31,cand32,resul32,cand33,resul33,cand34,resul34,cand35,resul35,cand36,resul36,cand37,resul37,cand38,resul38,cand39,resul39,cand40,resul40,cand41,resul41,cand42,resul42,cand43,resul43
,MG-04700/2016,https://setelagoas.com.br/noticias/politica/35558-nova-pesquisa-eleitoral-do-jornal-o-tempo-confirma-lideranca-de-leone-maciel,MG,SETE LAGOAS,1.0,P,0.0,,,LEONE MACIEL,27.4,EMILIO DE VASCONCELOS,10.6,MARCIO REINALDO,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG-04700/2016,https://setelagoas.com.br/noticias/politica/35558-nova-pesquisa-eleitoral-do-jornal-o-tempo-confirma-lideranca-de-leone-maciel,MG,SETE LAGOAS,1.0,P,1.0,,,LEONE MACIEL,39.4,EMILIO DE VASCONCELOS,19.6,MARCIO REINALDO,14.2,ELSON COPAFER,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG-06074/2016,https://issuu.com/jornalspasso/docs/1147_spasso_site,MG,ITAÚNA,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG-06389/2016,https://www.facebook.com/Promidiapesquisas/posts,MG,ROMARIA,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG-06482/2018,https://noticias.r7.com/eleicoes-2018/big-data-mg-zema-tem-62-dos-votos-validos-anastasia-38-26102018,MG,MINAS GERAIS,1.0,G,,,,ZEMA,54.0,ANASTASIA,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG-06490/2018,https://aconteceunovale.com.br/portal/?p=136980,MG,MINAS GERAIS,1.0,G,,,,ZEMA,55.0,ANASTASIA,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG-06555/2016,http://psdb-mg.org.br/eleicoes2016/noticias/alex-de-freitas-dispara-nas-pesquisas-e-e-o-unico-candidato-que-cresce-em-contagem/,MG,CONTAGEM,1.0,P,,,,ADEMIR LUCAS,19.0,ALEX DE FREITAS,17.0,CARLIN MOURA,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG-06596/2016,http://imguol.com/blogs/52/files/2016/09/Betim_prefeito_1turno.pdf,MG,BETIM,1.0,P,0.0,,,VITTORIO MEDIOLI,15.8,IVAIR NOGUEIRA,4.5,WELINTON SAPATAO,3.5,BETO DO DEPOSITO,2.3,EUTAIR DOS SANTOS,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG-06596/2016,http://imguol.com/blogs/52/files/2016/09/Betim_prefeito_1turno.pdf,MG,BETIM,1.0,P,1.0,,,VITTORIO MEDIOLI,35.3,IVAIR NOGUEIRA,14.7,WELINTON SAPATAO,11.1,BETO DO DEPOSITO,5.6,EUTAIR DOS SANTOS,4.2,FERNANDO MENDONÇA,1.3,WENCESLAU MOURA,1.0,DORINHA,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG-06668/2016,http://www.r7.com/r7/media/pdf/contagemOut16.pdf,MG,CONTAGEM,1.0,P,1.0,,,ALEX DE FREITAS,53.8,CARLIN MOURA,30.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG-06668/2016,http://www.r7.com/r7/media/pdf/contagemOut16.pdf,MG,CONTAGEM,1.0,P,0.0,,,ALEX DE FREITAS,38.0,CARLIN MOURA,20.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG-06763/2016,https://www.facebook.com/notes/prom%C3%ADdia-pesquisas/prom%C3%ADdia-pesquisas-divulga-resultado-oficial-em-lambarimg/435409956582827/,MG,LAMBARI,1.0,P,1.0,,,SERGIO TEIXEIRA,57.2,MARCAO,18.3,MARCELO TA COM NOS,17.3,RONALDO,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG-06763/2016,https://www.facebook.com/notes/prom%C3%ADdia-pesquisas/prom%C3%ADdia-pesquisas-divulga-resultado-oficial-em-lambarimg/435409956582827/,MG,LAMBARI,1.0,P,0.0,,,SERGIO TEIXEIRA,53.6,MARCAO,15.4,MARCELO TA COM NOS,13.1,RONALDO,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MG-06856/2016,https://www.facebook.com/notes/prom%C3%ADdia-pesquisas/prom%C3%ADdia-divulga-o-resultado-oficial-de-s%C3%A3o-jos%C3%A9-da-barramg/438565336267289/,MG,SÃO JOSÉ DA BARRA,1.0,P,1.0,,,JOAO PASSOS,63.2,SERGINHO DA AUTO ESCOLA,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
